,Unnamed: 0.1,Price,Product,Producer,Quantity,Type of food,Supermarket,Date
0,0,6.5,Maple syrup,Migros Bio,0.25,"Bread, Pastries, & Breakfast",Migros,2023-05-24
1,1,8.95,Maple syrupGrade C,Alnatura,0.375,"Bread, Pastries, & Breakfast",Migros,2023-05-24
2,2,4.5,Liquid sweetenerCyclamat,Sucorine,0.2,"Bread, Pastries, & Breakfast",Migros,2023-05-24
3,3,1.9,Vanilla flavor,Patissier,0.01,"Bread, Pastries, & Breakfast",Migros,2023-05-24
4,4,1.9,Patissier Aroma Rum,Patissier,0.01,"Bread, Pastries, & Breakfast",Migros,2023-05-24
5,5,0.7,Flüssighefe,unknown,0.038,"Bread, Pastries, & Breakfast",Migros,2023-05-24
6,6,1.9,Bitter almond flavor,Patissier,0.01,"Bread, Pastries, & Breakfast",Migros,2023-05-24
7,0,8.3,Iced teaLemon,Ice Tea,10.0,"Coffe, Drinks and Tea",Migros,2023-05-24
8,1,1.95,-BudgetOrange juice,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
9,2,6.5,-Budget  Energy DrinkSpecial drink containing caffeine,M,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
10,3,6.5,-Budget  Energy DrinkSpecial drink containing caffeineZero Sugar,M,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
11,4,5.95,Coca-Cola  ZeroLow-calorie soft drink,unknown,1.98,"Coffe, Drinks and Tea",Migros,2023-05-24
12,5,6.2,  ClassicNatural mineral waterSparkling,Aproz,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
13,6,5.95,Coca-ColaSoft drink,unknown,1.98,"Coffe, Drinks and Tea",Migros,2023-05-24
14,7,3.75,-Classic  AquellaNatural mineral waterStill,M,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
15,8,6.3,Natural mineral waterSparkling,San Pellegrino,7.5,"Coffe, Drinks and Tea",Migros,2023-05-24
16,9,1.2,Lemon juice,Sicilia,0.2,"Coffe, Drinks and Tea",Migros,2023-05-24
17,10,8.7,Coca-Cola  ZeroLow calorie lemonade,unknown,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
18,11,4.95,SyrupRaspberry syrup 30%,Sirup,1.5,"Coffe, Drinks and Tea",Migros,2023-05-24
19,12,5.3,Orange juicePressed,Andros,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
20,13,3.75,-Classic  AquellaNatural mineral waterLightly sparkling,M,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
21,14,8.7,Coca-ColaLemonade,unknown,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
22,15,0.6,-BudgetLemon juice,M,0.2,"Coffe, Drinks and Tea",Migros,2023-05-24
23,16,1.95,-Classic  BreakfastFruit juice,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
24,17,3.5,igros BioOrange juice,M,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
25,18,3.95,igros BioElderflower syrup,M,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
26,19,35.6,Energy drink,Red Bull,6.0,"Coffe, Drinks and Tea",Migros,2023-05-24
27,20,1.9,"  MateRefreshing drinkMate, guarana extract, caffeine",El Tony,0.33,"Coffe, Drinks and Tea",Migros,2023-05-24
28,21,10.95,Iced teaPeach,Ice Tea,10.0,"Coffe, Drinks and Tea",Migros,2023-05-24
29,22,14.0,-Classic  FairtradeOrange juice,M,10.0,"Coffe, Drinks and Tea",Migros,2023-05-24
30,23,3.95,  ClassicNatural mineral waterSparkling,Aproz,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
31,24,5.6,Natural mineral waterStill,Evian,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
32,25,2.5,SyrupGrenadine with flavoring and vanilla extract,Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
33,26,6.2,  MediumNatural mineral waterLightly sparkling,Aproz,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
34,27,6.2,  CristalNatural mineral waterStill,Aproz,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
35,28,4.9,orandSyrupGrenadine,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
36,29,8.3,Iced teaLemon - Light,Ice Tea,10.0,"Coffe, Drinks and Tea",Migros,2023-05-24
37,30,5.3,Blood orange juicePressed,Andros,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
38,31,3.7,SyrupRaspberry 30%,Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
39,32,4.95,Natural mineral waterStill,Rocchetta,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
40,33,5.3,Orange apricot carrot juicePressed,Andros,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
41,34,3.95,  CristalNatural mineral waterStill,Aproz,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
42,35,1.7,Iced teaLemon,Ice Tea,2.0,"Coffe, Drinks and Tea",Migros,2023-05-24
43,36,9.2,  SportcapNatural mineral waterStill,Evian,3.96,"Coffe, Drinks and Tea",Migros,2023-05-24
44,37,3.45,-BudgetSyrupRaspberry,M,1.5,"Coffe, Drinks and Tea",Migros,2023-05-24
45,38,3.55,-Budget  ZeroTable waterWith lemon flavor,M,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
46,39,19.95,igros BioOrange juice,M,6.0,"Coffe, Drinks and Tea",Migros,2023-05-24
47,40,6.6,  SportcapNatural mineral waterStill,Evian,4.5,"Coffe, Drinks and Tea",Migros,2023-05-24
48,41,1.0,Coca-ColaSoft drinkVanilla,unknown,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
49,42,1.8,Lemon juice,Alnatura,0.2,"Coffe, Drinks and Tea",Migros,2023-05-24
50,43,3.95,  MediumNatural mineral waterLightly sparkling,Aproz,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
51,44,1.6,-Classic  FairtradeMild orange juice,M,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
52,45,4.95,  SanbitterCarbonated SanbitterReady-to-drink non-alcoholic bitter,San Pellegrino,0.6000000000000001,"Coffe, Drinks and Tea",Migros,2023-05-24
53,46,2.8,Iced teaLemon,Ice Tea,1.98,"Coffe, Drinks and Tea",Migros,2023-05-24
54,47,1.5,-BudgetMultifruit nectarWith 50% fruit juice,M,1.5,"Coffe, Drinks and Tea",Migros,2023-05-24
55,48,2.5,-Classic  FairtradeOrange juice,M,1.5,"Coffe, Drinks and Tea",Migros,2023-05-24
56,49,6.5,Natural mineral waterStill,Vittel,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
57,50,6.3,Natural mineral waterStill,Evian,6.0,"Coffe, Drinks and Tea",Migros,2023-05-24
58,51,35.6,  SugarfreeEnergy drink,Red Bull,6.0,"Coffe, Drinks and Tea",Migros,2023-05-24
59,52,13.5, Well  ReloadVitamin waterLemon & lime,Vitamin,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
60,53,5.3,Exotic multi-fruit juice,Andros,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
61,54,5.7,Natural mineral waterSparkling,San Pellegrino,3.0,"Coffe, Drinks and Tea",Migros,2023-05-24
62,55,8.95,Energy drink,Red Bull,1.5,"Coffe, Drinks and Tea",Migros,2023-05-24
63,56,12.5,  MaxSoft drink,Pepsi,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
64,57,3.7,SyrupStrawberry 30% with flavoring,Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
65,58,5.7,Natural mineral waterLightly sparkling,Badoit,6.0,"Coffe, Drinks and Tea",Migros,2023-05-24
66,59,2.5,Syrup30% with flavoring,Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
67,60,7.5,Natural mineral waterRich in calcium and magnesium,Contrex,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
68,61,2.0,  ActiveVitamin waterPineapple & mango,Focus Water,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
69,62,2.95,"  BitterAlcohol-free beerCarbonated, pasteurized",Apéritiv,0.6000000000000001,"Coffe, Drinks and Tea",Migros,2023-05-24
70,63,0.6,-Classic  FairtradeMultivitamin juice,M,0.25,"Coffe, Drinks and Tea",Migros,2023-05-24
71,64,5.3,Clementine juicePressed,Andros,1.0,"Coffe, Drinks and Tea",Migros,2023-05-24
72,65,3.55,"-Budget  ZeroSoft drink with Cola flavor, contains caffeine",M,9.0,"Coffe, Drinks and Tea",Migros,2023-05-24
73,66,3.7,Black tea extract syrupPeach-flavored,Sirup,0.75,"Coffe, Drinks and Tea",Migros,2023-05-24
74,67,2.0,  CareVitamin waterMirabelle plum & rhubarb,Focus Water,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
75,68,7.8,Orange juiceOrange,Anna's Best,2.0,"Coffe, Drinks and Tea",Migros,2023-05-24
76,69,0.95,  ZeroIced teaPeach,Ice Tea,0.5,"Coffe, Drinks and Tea",Migros,2023-05-24
